refined_event,loss_year,loss_area_ha
BURNED,2001,268.81886
LOGGED_DEGRADED,2001,292.68049
OTHER_TEMP_DISTURBANCE,2001,1181.7085699999998
PERMANENT_AGRICULTURE,2001,17425.45814
SETTLEMENT_INFRASTRUCTURE,2001,28.33731
BURNED,2002,166.24783
LOGGED_DEGRADED,2002,226.82394
OTHER_TEMP_DISTURBANCE,2002,937.16832
PERMANENT_AGRICULTURE,2002,18701.97779
SETTLEMENT_INFRASTRUCTURE,2002,6.84735
BURNED,2003,210.44329
LOGGED_DEGRADED,2003,183.4556
OTHER_TEMP_DISTURBANCE,2003,778.9146899999989
PERMANENT_AGRICULTURE,2003,36967.03074
SETTLEMENT_INFRASTRUCTURE,2003,9.13760999999999
BURNED,2004,202.40526
LOGGED_DEGRADED,2004,598.78011
OTHER_TEMP_DISTURBANCE,2004,1310.6249699999998
PERMANENT_AGRICULTURE,2004,24869.98488
SETTLEMENT_INFRASTRUCTURE,2004,5.94783
BURNED,2005,527.03339
LOGGED_DEGRADED,2005,859.06522
OTHER_TEMP_DISTURBANCE,2005,2468.7325299999998
PERMANENT_AGRICULTURE,2005,51195.81871
SETTLEMENT_INFRASTRUCTURE,2005,38.1700199999999
BURNED,2006,2977.41406
LOGGED_DEGRADED,2006,1076.69358
OTHER_TEMP_DISTURBANCE,2006,3039.094
PERMANENT_AGRICULTURE,2006,44333.5569099999
SETTLEMENT_INFRASTRUCTURE,2006,7.53136999999999
BURNED,2007,1730.04394
LOGGED_DEGRADED,2007,1275.28766
OTHER_TEMP_DISTURBANCE,2007,2359.63959
PERMANENT_AGRICULTURE,2007,16022.95511
SETTLEMENT_INFRASTRUCTURE,2007,13.67076
BURNED,2008,630.53329
LOGGED_DEGRADED,2008,401.96598
OTHER_TEMP_DISTURBANCE,2008,1297.11935
PERMANENT_AGRICULTURE,2008,22004.93439
SETTLEMENT_INFRASTRUCTURE,2008,9.45844
BURNED,2009,465.99741
LOGGED_DEGRADED,2009,252.61996
OTHER_TEMP_DISTURBANCE,2009,1486.43739
PERMANENT_AGRICULTURE,2009,13157.44409
SETTLEMENT_INFRASTRUCTURE,2009,8.9186
BURNED,2010,3147.26944
LOGGED_DEGRADED,2010,690.443199999999
OTHER_TEMP_DISTURBANCE,2010,3444.8203399999998
PERMANENT_AGRICULTURE,2010,18704.62846
SETTLEMENT_INFRASTRUCTURE,2010,23.85246
BURNED,2011,3761.56569
LOGGED_DEGRADED,2011,500.51399
OTHER_TEMP_DISTURBANCE,2011,3082.2061499999904
PERMANENT_AGRICULTURE,2011,15300.61764
SETTLEMENT_INFRASTRUCTURE,2011,17.24944
BURNED,2012,1777.75524
LOGGED_DEGRADED,2012,468.76078
OTHER_TEMP_DISTURBANCE,2012,3452.8197
PERMANENT_AGRICULTURE,2012,26228.650459999997
SETTLEMENT_INFRASTRUCTURE,2012,20.11719
BURNED,2013,602.06758
LOGGED_DEGRADED,2013,339.6263
OTHER_TEMP_DISTURBANCE,2013,1387.786079999998
PERMANENT_AGRICULTURE,2013,18462.70411
SETTLEMENT_INFRASTRUCTURE,2013,1.59875
BURNED,2014,381.01687
LOGGED_DEGRADED,2014,1317.36602
OTHER_TEMP_DISTURBANCE,2014,1833.41968
PERMANENT_AGRICULTURE,2014,25861.66151
SETTLEMENT_INFRASTRUCTURE,2014,5.10818
BURNED,2015,642.08019
LOGGED_DEGRADED,2015,653.32968
OTHER_TEMP_DISTURBANCE,2015,1610.2145099999989
PERMANENT_AGRICULTURE,2015,33939.6582299999
SETTLEMENT_INFRASTRUCTURE,2015,8.66162
BURNED,2016,3711.71735
LOGGED_DEGRADED,2016,1065.12096
OTHER_TEMP_DISTURBANCE,2016,2589.72166
PERMANENT_AGRICULTURE,2016,63101.18056
SETTLEMENT_INFRASTRUCTURE,2016,10.76324
BURNED,2017,3765.22982999999
LOGGED_DEGRADED,2017,2002.21394
OTHER_TEMP_DISTURBANCE,2017,3059.64043
PERMANENT_AGRICULTURE,2017,47287.10502
SETTLEMENT_INFRASTRUCTURE,2017,16.10211
BURNED,2018,838.19092
LOGGED_DEGRADED,2018,1071.27702
OTHER_TEMP_DISTURBANCE,2018,1237.72068
PERMANENT_AGRICULTURE,2018,51826.674210000005
SETTLEMENT_INFRASTRUCTURE,2018,18.49772
BURNED,2019,981.26059
LOGGED_DEGRADED,2019,998.06657
OTHER_TEMP_DISTURBANCE,2019,1210.07536
PERMANENT_AGRICULTURE,2019,57659.3944899999
SETTLEMENT_INFRASTRUCTURE,2019,4.49358
BURNED,2020,2637.45992
LOGGED_DEGRADED,2020,1169.25635999999
OTHER_TEMP_DISTURBANCE,2020,1726.56928
PERMANENT_AGRICULTURE,2020,64360.562789999996
SETTLEMENT_INFRASTRUCTURE,2020,7.61348
BURNED,2021,2965.29362
LOGGED_DEGRADED,2021,873.38799
OTHER_TEMP_DISTURBANCE,2021,1851.57227
PERMANENT_AGRICULTURE,2021,95834.07967
SETTLEMENT_INFRASTRUCTURE,2021,4.87239
BURNED,2022,4693.41154
LOGGED_DEGRADED,2022,2347.68443
OTHER_TEMP_DISTURBANCE,2022,1936.42273
PERMANENT_AGRICULTURE,2022,123438.63609
SETTLEMENT_INFRASTRUCTURE,2022,5.57268
BURNED,2023,3044.85073
LOGGED_DEGRADED,2023,957.73682
OTHER_TEMP_DISTURBANCE,2023,1194.97112
PERMANENT_AGRICULTURE,2023,36962.296089999996
SETTLEMENT_INFRASTRUCTURE,2023,6.30321
BURNED,2024,66237.10731
LOGGED_DEGRADED,2024,5688.27280999999
OTHER_TEMP_DISTURBANCE,2024,4166.23809
PERMANENT_AGRICULTURE,2024,67310.81141
SETTLEMENT_INFRASTRUCTURE,2024,7.40462999999999
